DC,Dd,ID,iz,izL,wlp,wlpL
0.03854348362542698,0.03883206095650288,40.0,5,21,1,1
0.0065313122638515075,0.006579111909394475,40.0,21,5,1,1
0.015395599133128601,0.01550703587183,40.0,14,21,1,1
0.03329199489983514,0.03352714206550278,40.0,14,14,1,1
0.041665161533706085,0.041948558381516676,40.0,3,14,1,1
0.04355611671822976,0.043839938210419205,40.0,13,3,1,1
0.04766672088096585,0.047963397517606976,40.0,23,13,1,1
-0.35875961446583426,-0.46493177434117355,40.0,13,23,0,1
0.3490697313575989,0.35299614342983154,40.0,0,13,0,0
0.013665348660120619,0.013792657386779317,40.0,10,0,0,0
0.020747989765996025,0.02093795592250708,40.0,19,10,0,0
0.010702858686746863,0.010799308774325056,40.0,10,19,0,0
0.009733668734288603,0.009820485081118824,40.0,19,10,0,0
0.011653108580036084,0.011755929674467314,40.0,9,19,0,0
0.007208995986783512,0.007272001975814291,40.0,1,9,0,0
0.025747428906916947,0.025901165919279046,41.0,41,48,1,1
-0.0020103624995363445,-0.00202222351234449,41.0,40,41,1,1
-0.003719572317803288,-0.003741580905711972,41.0,50,40,1,1
0.009835230549589125,0.009893246765585395,41.0,41,50,1,1
-0.010548473738213604,-0.010610719608138919,41.0,39,41,1,1
-0.008995168965828498,-0.009048773150628187,41.0,40,39,1,1
0.009814253432688769,0.00987271466973888,41.0,49,40,1,1
0.007022778540049096,0.007064258758814224,41.0,39,49,1,1
0.006370911081639452,0.006408288381447358,41.0,40,39,1,1
-0.34907379197301447,-0.45042960899852996,41.0,14,40,0,1
3.33377769834442e-12,3.3338887206468826e-12,41.0,3,14,0,0
2.8513857941447895e-12,2.851274771842327e-12,41.0,3,3,0,0
3.3032465651672283e-12,3.3033575874696908e-12,41.0,5,3,0,0
2.933098208757201e-12,2.9329871864547385e-12,41.0,23,5,0,0
2.0728418981263985e-12,2.0727863869751673e-12,41.0,4,23,0,0
1.2740364319085984e-12,1.2739809207573671e-12,41.0,13,4,0,0
1.1070033778537436e-12,1.1071144001562061e-12,41.0,4,13,0,0
-0.1827524589560346,-0.22764314689740137,42.0,39,50,1,2
0.026029322136427335,0.0261907729243131,42.0,40,39,1,1
0.01975019745430069,0.019869910533221014,42.0,39,40,1,1
0.01973190146807398,0.019849151831905887,42.0,31,39,1,1
0.041841500147512097,0.042082562194711126,42.0,31,31,1,1
2.958910894079736e-12,2.9588553829285047e-12,43.0,4,23,0,0
3.068933995820089e-12,3.0688784846688577e-12,43.0,13,4,0,0
6.812383990251192e-12,6.812439501402423e-12,43.0,5,13,0,0
-3.748668042646841e-13,-3.7492231541591536e-13,43.0,13,5,0,0
-3.855871177904646e-11,-3.855871177904646e-11,43.0,22,13,0,0
3.9913627958299e-12,3.9913627958299e-12,43.0,22,22,0,0
1.3085976746651795e-11,1.3085976746651795e-11,43.0,14,22,0,0
1.466438082076138e-12,1.4664935932273693e-12,43.0,21,14,0,0
3.446187779587717e-12,3.446132268436486e-12,43.0,21,21,0,0
3.714861751547005e-12,3.714806240395774e-12,43.0,13,21,0,0
1.7604251389968795e-12,1.7604806501481107e-12,43.0,12,13,0,0
2.6088797788759166e-11,2.6088797788759166e-11,43.0,31,12,0,0
4.3507419889010635e-12,4.350853011203526e-12,43.0,40,31,0,0
0.0025044229344203806,0.0025357357759480115,43.0,39,40,0,0
0.0009959831006783326,0.0010084138435548784,43.0,40,39,0,0
0.007883613071618556,0.007981566439300924,43.0,40,40,0,0
-0.002909171117136289,-0.002945226386075972,43.0,41,40,0,0
0.0021492501347467052,0.0021758974477317228,43.0,39,41,0,0
0.0005665557348504824,0.000573570481384067,43.0,30,39,0,0
-0.0016039697617495352,-0.0016238395675993722,43.0,31,30,0,0
-0.0048046075405581146,-0.0048643199536966275,43.0,48,31,0,0
-0.002753051864527345,-0.0027873983548950543,43.0,40,48,0,0
0.018628788186534614,0.01871142220083319,44.0,12,3,2,2
0.026827475016816642,0.02694379300579572,44.0,14,12,2,2
-0.2834792451733298,-0.32911896863442297,44.0,21,14,1,2
0.05206790922391347,0.05244915668220762,44.0,13,21,1,1
0.049579003594147464,0.049923909003929234,44.0,22,13,1,1
0.05235470033305406,0.052700702133389066,44.0,3,22,1,1
0.05929273568350574,0.059663193425344374,44.0,14,3,1,1
0.04391126985714938,0.04417172743266595,44.0,12,14,1,1
0.048314601799534174,0.048588194300086734,44.0,4,12,1,1
0.03816289926173418,0.03836980311129509,44.0,3,4,1,1
-0.49154760598892583,-0.598592736857495,44.0,12,3,0,1
0.016398876376861382,0.016616070971703145,44.0,12,12,0,0
0.0073245672452015576,0.007372579682679015,45.0,32,50,1,1
-0.015153001624274576,-0.01525272220274293,45.0,30,32,1,1
-0.267928552479089,-0.3731144917386199,45.0,40,30,0,1
5.184574991545787e-12,5.184519480394556e-12,45.0,40,40,0,0
7.650879929599341e-12,7.650990951901804e-12,45.0,39,40,0,0
2.1065926780750033e-11,2.1066037803052495e-11,45.0,48,39,0,0
1.982342068274079e-11,1.9823254149287095e-11,45.0,50,48,0,0
-0.0007570799458242947,-0.0007602993849584183,46.0,61,62,2,2
-0.002600058743342716,-0.002611134001190285,46.0,78,61,2,2
-0.020802123276253408,-0.02089178140135517,46.0,79,78,2,2
-0.07751731798563362,-0.07786841499222935,46.0,79,79,2,2
0.0468876788943894,0.047103303706963556,46.0,70,79,2,2
0.06260504958932676,0.06287756963983471,46.0,61,70,2,2
0.056818356120871064,0.05705128483936493,46.0,62,61,2,2
0.04689218561282657,0.04707466153159015,46.0,61,62,2,2
0.039566448273206566,0.0397138745164429,46.0,61,61,2,2
